id,departure,destination,startStation,endStation,journey,distance
2990.1113.A,Hà Nội,Hà Nam,Giáp Bát,Hoà Mạc,BX Hòa Mạc - Vực vòng - Cao tốc Cầu Giẽ Pháp Vân - BX Giáp Bát,60
2990.1114.A,Hà Nội,Hà Nam,Giáp Bát,Quế,BX Quế - Đại Cương - Đồng Văn - QL1A - BX Giáp Bát,70
2990.1212.A,Hà Nội,Hà Nam,Gia Lâm,Vĩnh Trụ,BX Vĩnh Trụ - Hòa Mạc - Đồng Văn - BX Gia Lâm,80
2990.1511.A,Hà Nội,Hà Nam,Nước Ngầm,Trung tâm Hà Nam,BX Trung tâm Hà Nam - Phủ Lý - QL1 - BX Nước Ngầm,55
2990.1611.A,Hà Nội,Hà Nam,Yên Nghĩa,Trung tâm Hà Nam,BX Yên Nghĩa - QL6 - QL21B - Ngã ba Bình Đà - TL427B - Thường Tín - TL427 - Cao tốc (Pháp Vân - Cầu Giẽ) - Cao tốc (Cầu Giẽ - Ninh Bình) - Nút giao Liêm Tuyền - BX Trung tâm Hà Nam,70
2990.1612.A,Hà Nội,Hà Nam,Yên Nghĩa,Vĩnh Trụ,BX Vĩnh Trụ - Hòa Mạc - Đồng Văn - BX Yên Nghĩa,85
2990.1612.B,Hà Nội,Hà Nam,Yên Nghĩa,Vĩnh Trụ,BX Yên Nghĩa - QL6 - Ba La - QL21B - Ngã ba Bình Đà - TL427B - Thường Tín - TL427 - Cao tốc (Cầu Giẽ - Pháp Vân) - QL1 - Đồng Văn - Phủ Lý - ĐT491 - BX Vĩnh Trụ,85
2990.1613.A,Hà Nội,Hà Nam,Yên Nghĩa,Hoà Mạc,BX Yên Nghĩa - QL6 - Ba La - QL21B - Ngã ba Bình Đà - TL427B - Thường Tín - TL427 - Cao tốc (Cầu Giẽ - Pháp Vân) - QL1 - Đồng Văn - QL38 - BX Hòa Mạc,60
2990.1614.A,Hà Nội,Hà Nam,Yên Nghĩa,Quế,BX Quế - Tế Tiêu - BX Yên Nghĩa,53
2990.1711.A,Hà Nội,Hà Nam,Sơn Tây,Trung tâm Hà Nam,BX Trung tâm Hà Nam - QL21 - Đường Hồ Chí Minh - Xuân Mai - QL21 - BX Sơn Tây,110
2990.1712.A,Hà Nội,Hà Nam,Sơn Tây,Vĩnh Trụ,BX Vĩnh Trụ - Phủ Lý - QL21 - Chi Lê - Đường Hồ Chí Minh - Ngã ba Xuân Mai - QL21 - BX Sơn Tây,120
2992.1511.A,Hà Nội,Quảng Nam,Nước Ngầm,Tam KǶ,BX Tam KǶ - QL1A - BX Nước Ngầm,820
2992.1612.A,Hà Nội,Quảng Nam,Yên Nghĩa,Bắc Quảng Nam,BX Bắc Quảng Nam - QL1 - BX Yên Nghĩa,800
2993.1614.A,Hà Nội,Bình Phước,Yên Nghĩa,Bù Đốp,BX Bù Đốp - ĐT759B - ĐT759 - ĐT741 - QL14 - QL14B - QL1A - Đường cao tốc (Hà Nội - Ninh Bình) - Đường Hồ Chí Minh - QL6 - BX Yên Nghĩa,1587
2997.1211.A,Hà Nội,Bắc Kạn,Gia Lâm,Bắc Kạn,BX Bắc Kạn - QL3 - Thái Nguyên - QL3 - BX Gia Lâm,172
2997.1212.A,Hà Nội,Bắc Kạn,Gia Lâm,Chợ Đồn,BX Chợ Đồn - QL3B - ĐT254B - QL3C - QL3 - BX Gia Lâm,180
2997.1215.A,Hà Nội,Bắc Kạn,Gia Lâm,Pác Nặm,BX Pác Nặm - ĐT258B - ĐT258 - QL3 - BX Gia Lâm,223
2997.1311.A,Hà Nội,Bắc Kạn,Mỹ Đình,Bắc Kạn,BX Bắc Kạn - QL3 - Thái Nguyên - QL3 - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,167
2997.1312.A,Hà Nội,Bắc Kạn,Mỹ Đình,Chợ Đồn,BX Chợ Đồn - TL257 - QL3 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,180
2997.1313.A,Hà Nội,Bắc Kạn,Mỹ Đình,Na Rì,BX Na Rì - QL3B - QL3 - Sóc Sơn - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng,210
2997.1314.A,Hà Nội,Bắc Kạn,Mỹ Đình,Ba Bể,BX Ba Bể - ĐT258 - TT Phủ Thông - QL3 - Sóc Sơn - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,130
2997.1315.A,Hà Nội,Bắc Kạn,Mỹ Đình,Pác Nặm,BX Pác Nặm - ĐT258B - ĐT258 - QL3 - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Cầu vượt Mai Dịch) - Đường Phạm Hùng - BX Mỹ Đình,223
2997.1611.A,Hà Nội,Bắc Kạn,Yên Nghĩa,Bắc Kạn,BX Bắc Kạn - QL3 - Thái Nguyên - QL3 - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Nút giao BigC) - Nút giao BigC - Đại lộ Thăng Long - Đường Lê Trọng Tấn - QL6 - BX Yên Nghĩa,171
2997.1612.A,Hà Nội,Bắc Kạn,Yên Nghĩa,Chợ Đồn,BX Chợ Đồn - ĐT257 - QL3 - Thái Nguyên - QL3 - QL2 - Đường Võ Văn Kiệt - Cầu Thăng Long - Vành đai 3 trên cao (Đoạn Cầu Thăng Long - Nút giao BigC) - Nút giao BigC - Đại lộ Thăng Long - Đường Lê Trọng Tấn - QL6 - BX Yên Nghĩa,200
